Scheme_Name,URL,State,Ministry,Details,Benefits,Eligibility,Application_Process,Documents_Required,Search_Keywords,is_student,is_disabled,is_female,is_male,is_transgender,is_girl_child,is_sc_st,is_obc,is_bpl,is_farmer,is_unemployed,is_self_employed,is_salaried_employee,is_daily_wage_worker,is_job_seeker,is_worker,is_labour,is_school_student,is_college_student,has_graduated,is_dropout,is_rural_resident,is_urban_resident,is_migrant_worker,is_single_woman,has_large_family,belongs_to_minority,has_bank_account,no_asset_ownership,receives_pension,has_chronic_illness,is_maternal_beneficiary,is_widow,is_senior_citizen,is_orphan,is_child_of_single_parent,is_woman_headed_household,has_disabled_family_member,lives_in_slum,is_homeless,has_no_house,has_pukka_house,has_kutcha_house,is_tribal,belongs_to_fisherfolk,belongs_to_weaver_community,is_ex_serviceman,is_person_with_hiv,is_victim_of_abuse,is_first_generation_learner,has_family_member_in_govt_service,receives_existing_govt_benefits,annual_income,min_age,max_age,max_income
Atal Sneh Yojana,https://www.myscheme.gov.in/schemes/asyg,Gujarat,,"Detailed Atal Sneh Yojana in Gujarat is the scheme that has launched on the 25th of December 2016 on the occasion of former Prime Minister Atal Bihari Vajpayee's ninety-second birthday. The scheme is launched by the Chief Minister of Gujarat, Mr. Vijay Rupani. The scheme will look forward to a healthy child after their birth. It was decided at the Gandhinagar Civil Hospital and it will look upon the children up to two months after their birth.After focusing on the health of the children and covering some major diseases the government has now shifted its focus to core issues. Basically, the Atal Sneh Yojana will replace the decades-old Annual School Program which was being carried out by the health and education departments.For this new scheme, newborn children will be screened specifically to look for health defects and improve them. This is being launched wide across Gujarat. Under this scheme, the newborn kids will be screened and given treatment immediately if there is any illness found. It will be carried out for two long months.Objectives Through this scheme, children can be provided with better health. Better health will lead to avoiding malnutrition, disorders, and diseases.Around seven percent of newly born babies every year are suffering from certain disorders and that has created a serious issue in the international platform. So by preventing such trouble, the country can be in a better position in international health conferences.With such schemes, the government is also looking for a stronger young generation and this young generation would lead to having a stronger nation.some of the dire diseases kids suffer fromThe children suffer from some very grave diseases such as complicated birth defects such as Down's syndrome, congenital deafness, club foot, neural tube defect, etc.These are not all. There are some diseases, which are there present in the dormant state within the genes. By checking the kids at their tender age, the doctors will be able to better treat them.The Chief Minister of the state launched that all of the diseases that are detected at the maternity homes by the government will be taken care of by the government.","Benefit In this scenario, the newborn children will be referred to a doctor. If the case is not very serious, then they will be referred to a local facility for treatment.Children who are ill or born with some genetic diseases will receive proper treatment from experts. They will also receive follow-ups after their treatment from family health workers.The newborn babies will get a thorough health checkup from these health workers and the Rashtriya Bal Swasthya Karyakram (RBSK). This will be done at both private and government hospitals.If there are noninstitutionalized deliveries that have taken place, then the social health care activists and the RBSK members will arrange a proper screening for the child in their center.The Minister of State for Health in Gujarat has also announced that there will be a special cochlear implant surgery provided to kids that are being born with hearing and speech impairment.",Eligibility All Newborn children are eligible.Age should be up to two months after their birth.,"OfflineApplication ProcessVisit the nearest Anganwadi Centre or District Child Protection Officer office and obtain the application form.Fill out the application form with all the required details and attach the necessary documents such as birth certificate, income certificate, and Aadhar card.Submit the application form along with the documents to the Anganwadi Centre or District Child Protection Officer's office.The application will be verified by the officials and the eligible applicants will be selected for the scheme.The selected applicants will be provided with the benefits under the scheme.",List of the required documentsBirth Certificate.Parents/Guardian Aadhar cardOther relevant documents related to health issues.,"Atal Sneh Yojana, asyg, Atal Sneh, Gujarat, Health, Newborn Child, myScheme, Government Schemes, Government Scheme, GovernmentScheme, GovernmentSchemes, Find Government Scheme, Gov Scheme Platform, Gov Scheme",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,
Antim Sanskar Yojana  ,https://www.myscheme.gov.in/schemes/asymp,Madhya Pradesh,,"This scheme ""Antim Sanskar Yojana"" started by the Labor department of Madhya Pradesh to provide the financial assistance in the case of death.  On the death of such an eligible worker, his family members are to be provided financial assistance in the form of funeral expenses.Objective:This scheme aims to provide financial assistance to the dependents of registered construction workers in Madhya Pradesh in the case of their death.It offers support to alleviate the immediate financial burden on families caused by funeral expenses.","Lump sum financial assistance amount : Rs6,000/-",Construction worker must be registered with labor department.Beneficiary must not be received assistance for last rites from any other department.,"OfflineStep-1: Applicant need to visit the official website and search the scheme name. Step-2: Applicant need to download the online fill out application form or download the blank form.Step-3: Now on portal select the district Name and choose the option ""Lok Seva Kendra""  and visit nearest location.Step-4: Applicant need to submit the application form with required documents           - Application form.           - Photocopy of the first page of the applicant's bank passbook.           - Verification by the management of the institution/establishment at the designated place on the application form.           - Death certificate of the worker.",Death certificate of the worker.Photocopy of bank Passbook.Verification by the institution/establishment.Application form in the prescribed format.,"Antim Sanskar Yojana  , asymp, Financial Assistance, Funeral, Labour Worker, myScheme, Government Schemes, Government Scheme, GovernmentScheme, GovernmentSchemes, Find Government Scheme, Gov Scheme Platform, Gov Scheme",,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
AICTE-Technical Book Writing & Translation Scheme,https://www.myscheme.gov.in/schemes/atbwt,All India,Ministry of Education,"AICTE-Technical Book Writing & Translation scheme has been launched by the All India Council for Technical Education (AICTE) to promote the use of 'Scheduled Regional Language' in Technical Education for creating knowledge base in local language and to encourage creation of treasure of latest technical knowledge incorporating the newest developments by grant of financial support to the distinguished faculty/writers/translators.Objectives:To encourage, promote and support maximum number of writers to write and publish the technical subject books in Indian scheduled regional language including Hindi.List of (12) Scheduled Regional Languages included in Technical Book Writing Scheme of AICTE:Hindi.Assamese.Bengali.Gujarati.Kannada.Malayalam.Marathi.Odia.Punjabi.Tamil.Telugu.Urdu.","Maximum funding for translation work and for original Technical Book Writing (Funding will be shared in case of multiple authors) shall be limited to :Original book writer for UG : Rs 2,00,000/-Original book writer for Diploma : Rs 1,50,000/-Reviewer for UG: Rs 40,000/-Reviewer for Diploma: Rs 30,000/-Translator for UG & Diploma: Rs 1,00,000/-Reviewer of translated books in regional languages for UG & Diploma: Rs  20,000/- (In case of an author & co-author for one book, the amount will be split between the both).",The Faculty- retired or working in AICTE approved institutions (Degree/Diploma/Pharmacy/Management/Architecture etc.) or researchers of suchinstitutions.The proposed author(s) to be of reputed with command over the subject and the language chosen for writing.The proposed author(s) should have a proven academic record of brilliance.The proposed author(s) should have been recognized in the similar nature work earlier.,"OfflineKindly visit AICTE Website > Schemes > Staff Development Schemes > Technical Book Writing and Translation or visit https://www.aicteindia.org/schemes/staff-development-schemesClick and download the Application for Technical Book Writing and Translation.Fill in the required information.Verify that every page of the application form has signature and stamp of the Institute's Head.Attach all the essential documents along with the filled application form.Kindly ensure all the information is correct and then send the Application form along with all the essential documents through registered post/ speed post to:Prof. Dileep N Malkhede,Adviser RIFDAll India Council for Technical Education,Nelson Madela Marg, Vasant Kunj, New Delhi - 110070",Required details and documents:Institute Details.Details of the Writer of the book/Translator.Details of the Book to be Evaluated.Academic credentials of the book writer.Purpose/Benefits of writing/translating the book.Mandate Form (For Institutes / Colleges).,"AICTE-Technical Book Writing & Translation Scheme, atbwt, Financial Support, Remuneration, Technical Book Writing, Translation, myScheme, Government Schemes, Government Scheme, GovernmentScheme, GovernmentSchemes, Find Government Scheme, Gov Scheme Platform, Gov Scheme",,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allowance To Dwarf,https://www.myscheme.gov.in/schemes/atd,Haryana,,"DetailsThe acceptance of the basic needs of the citizens of the country financially is governed by the pension scheme for all the states. The benefit of the pension scheme is provided by dividing the citizens below the poverty line into old age, minor, destitute, widow and orphan destitute etc. Keeping in mind the social security of the bonds by the state government, the purpose of providing housing allowance per month is to operate the Born Pension Scheme. State of Haryana introduced the Dwarf Allowance Scheme in support for the dwarfs to avail equal opportunities in all sectors. A dwarf individuals who are living in various parts of the State are being given an allowance @ Rs. 2500 (w.e.f. 01-04-2021) per month per beneficiary. A male person of height 3 feet 8 inches or less height and a female of height 3 feet 3 inches or less (equivalent to 70% handicapped) is entitled to monthly pension.","BenefitsThe allowance is Rs. 2500/- per month, effective from 01.04.2021. ",Eligibility CriteriaThe applicant should be a Domicile of Haryana State and should have been residing in Haryana State for the last year at the time of submission of the application.The age of the applicant shall not be less than 18 years.The applicant must submit a certificate from the Civil Surgeon in support of his/her being a Dwarf.,OfflineApplication ProcessDownload the application from the following eDisha official site.Get the printout and fill out the application in the prescribed manner.Attached the photograph with the required documents.And submit to the District Social Welfare Officer.,List of the required documents The applicant will have to give a certificate of dwarfism from the District Medical Officer / Civil Surgeon.Birth certificate.Income certificate. Photocopy of the first page of the bank account. Address proof.Aadhaar card. A recent photograph of the applicant. Caste certificate.,"Allowance To Dwarf, atd, Dwarf, Empowerment, Financial Assistance, myScheme, Government Schemes, Government Scheme, GovernmentScheme, GovernmentSchemes, Find Government Scheme, Gov Scheme Platform, Gov Scheme",,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,
"Assistance for Tools, Equipment, Shorting/Grading Equipment, PHM Equipment for Scheduled Tribes (HRT-3)",https://www.myscheme.gov.in/schemes/atesgephmesthrt3,Gujarat,,"The scheme ""Assistance for Tools, Equipment, Shorting/Grading Equipment, PHM Equipment for Scheduled Tribes (HRT-3)"" is implemented by the Directorate of Horticulture, Agriculture, Farmers Welfare and Co-operation Department, Government of Gujarat. Under the scheme, financial assistance is provided to farmers belonging to the Scheduled Tribes category as well as to farmer groups and cooperative societies for purchasing various tools, equipment, sorting/grading equipment, and Post-Harvest Management (PHM) equipment. This includes plastic crates with equipment such as weights, packing materials, sorting/grading machinery, etc.","The Scheduled Tribes farmers will be eligible for assistance up to 75% of the cost of the Tools/Equipment or Rs3,750/-, whichever is less.Farmer groups/cooperative societies will be eligible for assistance of 90% of the cost of equipment or up to Rs7,50,000/-, whichever is less, for the installation of Post-Harvest Management (PHM) Equipment.",The beneficiary should be a permanent resident of Gujarat.The beneficiary should belong to the Scheduled Tribes.The individual farmer or farmer groups/Cooperative Societies are eligible to avail benefits under the scheme.Note 01: The tool/equipment has to be purchased from the authorised dealer of the empanelled manufacturer for the purpose of price discovery as notified by the Department of Agriculture from time to time.Note 02: Companies empanelled by the Department of Agriculture for tarpaulin seats and their regulations will have to be implemented as per the norms.Note 03: Companies empanelled by the Agriculture Department for plastic crates and have to implement as per its norms.,"OnlineApplication Procedure:Step 01: The applicant may visit and apply online at I-Khedut Portal: https://ikhedut.gujarat.gov.in/Step 02: On the home page, click on 'Schemes' and then click on 'Horticulture Schemes'.Step 03: Now select the scheme and then read the instructions for HRT-3.Step 04: Click on the 'Apply' button and an application page will open.Step 05: Click on the ""Apply New"" button and submit a new application.Step 06: Click on the ""Update Application"" button to add corrections to the application.Step 07: Once the application is done, confirm it.Step 08: Take a printout of the confirmed application.Step 09: Take a printout of the online application and submit it to the office/office address mentioned on the application along with the necessary documents. Or after applying Khedut online on the iKhedut Portal, take a print of the signature/ fingerprint and scan it, and upload it by clicking on the ""Upload Signed Copy of Application Print"" menu on the portal.Note 01: The facility to upload a scanned copy of the caste certificate is also enabled in the ""Other Document Upload"" menu wherever applicable.Note 02: There is no need for the farmer to submit the application in person at the office.Note 03: Scanned copy uploaded in PDF format should not exceed 200 KB in size.Application Tracking:Applicant can also check their Application Status/View/Print/Upload Application details from the below link: https://ikhedut.gujarat.gov.in/public/frm_Applicant_Corner.aspx ",Scheduled Tribes Certificate issued by competent authorityDisability Certificate issued by Competent Authority (only for PWDs) (if applicable)Copy of land details 7/12 and 8-ACopy of Aadhaar CardCopy of bank passbook/cancelled chequeCopy of forest rights Letter (if applicable) Any other documents as required,"Assistance for Tools, Equipment, Shorting/Grading Equipment, PHM Equipment for Scheduled Tribes (HRT-3), atesgephmesthrt3, Cooperative Society, Equipment, Farmer, Farmer Group, Financial Assistance, HRT-3, Scheduled Tribe, Tools, myScheme, Government Schemes, Government Scheme, GovernmentScheme, GovernmentSchemes, Find Government Scheme, Gov Scheme Platform, Gov Scheme",,,,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
"Assistance for Tools, Equipment, Shorting/Grading Equipment, PHM Equipment for General Category (HRT-2)",https://www.myscheme.gov.in/schemes/atesgephmgchrt2,Gujarat,,"The scheme ""Assistance for Tools, Equipment, Shorting/Grading Equipment, PHM Equipment for General Category (HRT-2)"" is implemented by the Directorate of Horticulture, Agriculture, Farmers Welfare and Co-operation Department, Government of Gujarat. Under the scheme, financial assistance is provided to farmers belonging to the General Category as well as to farmer groups and cooperative societies for purchasing various tools, equipment, sorting/grading equipment, and Post-Harvest Management (PHM) equipment. This includes plastic crates with equipment such as weights, packing materials, sorting/grading machinery, etc.","The General Category farmers will be eligible for assistance up to 75% of the cost of the Tools/Equipment or Rs3,750/-, whichever is less.Farmer groups/cooperative societies will be eligible for assistance of 90% of the cost of equipment or up to Rs7,50,000/-, whichever is less, for the installation of Post-Harvest Management (PHM) Equipment.",The beneficiary should be a permanent resident of Gujarat.The beneficiary should belong to the General Category.The individual farmer or farmer groups/Cooperative Societies are eligible to avail benefits under the scheme.Note 01: The tool/equipment has to be purchased from the authorised dealer of the empanelled manufacturer for the purpose of price discovery as notified by the Department of Agriculture from time to time.Note 02: Companies empanelled by the Department of Agriculture for tarpaulin seats and their regulations will have to be implemented as per the norms.Note 03: Companies empanelled by the Department of Agriculture for plastic crates and their regulations will have to be implemented as per the norms.,"OnlineApplication Procedure:Step 01: The applicant may visit and apply online at I-Khedut Portal: https://ikhedut.gujarat.gov.in/Step 02: On the home page, click on 'Schemes' and then click on 'Horticulture Schemes'.Step 03: Now select the scheme and then read the instructions for HRT-2.Step 04: Click on the 'Apply' button and an application page will open.Step 05: Click on the ""Apply New"" button and submit a new application.Step 06: Click on the ""Update Application"" button to add corrections to the application.Step 07: Once the application is done, confirm it.Step 08: Take a printout of the confirmed application.Step 09: Take a printout of the online application and submit it to the office/office address mentioned on the application along with the necessary documents. Or after applying Khedut online on the iKhedut Portal, take a print of the signature/fingerprint and scan it, and upload it by clicking on the ""Upload Signed Copy of Application Print"" menu on the portal.Note 01: The facility to upload a scanned copy of the caste certificate is also enabled in the ""Other Document Upload"" menu wherever applicable.Note 02: There is no need for the farmer to submit the application in person at the office.Note 03: Scanned copy uploaded in PDF format should not exceed 200 KB in size.Application Tracking:Applicant can also check their Application Status/View/Print/Upload Application details from the below link: https://ikhedut.gujarat.gov.in/public/frm_Applicant_Corner.aspx ",Copy of Aadhaar CardDisability Certificate issued by Competent Authority (only for PWDs) (if applicable)Copy of land details 7/12 and 8-ACopy of bank passbook/ cancelled chequeCopy of forest rights Letter (if applicable) Any other documents as required,"Assistance for Tools, Equipment, Shorting/Grading Equipment, PHM Equipment for General Category (HRT-2), atesgephmgchrt2, Cooperative Society, Farmer, Farmer Group, Financial Assistance, General Category, HRT-2, Post-Harvest Management, Shorting Equipment, Tools, myScheme, Government Schemes, Government Scheme, GovernmentScheme, GovernmentSchemes, Find Government Scheme, Gov Scheme Platform, Gov Scheme",,,,,,,False,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Advanced Training in Handicrafts"" Component of the ""Development of Handicrafts"" Scheme",https://www.myscheme.gov.in/schemes/atihcdohs,Puducherry,,"The ""Advanced Training in Handicrafts"" Component of the ""Development of Handicrafts"" Scheme is introduced by the Department of Industries and Commerce, Union Territory of Puducherry, to provide advanced training to individuals seeking to master exquisite craft skills. Through this scheme, candidates will be sponsored for training in other states where the craft is practised to its finest. The training program focuses on enhancing craft skills, enabling participants to acquire advanced techniques and proficiency in their chosen craft.","Course Fee: as Prescribed by the Training Institution.Stipend: Rs2,500/- Per Month Per Trainee.Accommodation Charges: Rs500/- Per Month Per Trainee.Travelling Allowance: Restricted to to-and-fro 2nd Class (Berth) Train Fare.Period of Training: As Prescribed by the Training Unit/institution.",The applicant should be between 18 and 35 years of age.The applicant should be a native of the Union Territory of Puducherry or a continuous resident for the past three years.The applicant should possess the education qualification as required by the Training Unit/Institution.,"OfflineStep 1: The interested applicant should take print of the prescribed format of the application form.Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required).Step 3: The interested applicant should visit (on a working day, and during office hours) the Project Manager (Cottage Industries), and submit the duly filled and signed application form and the documents to the concerned authority.Step 4: On receipt of the application, necessary entries will be made in the application receipt register and a unique number is assigned to the applicant for identifying each applicant which shall be used for all further references and also as acknowledgement for the receipt of the application.",Birth Certificate/ Residential Certificate.Proof of Age.Educational Certificates/Marksheets.,"""Advanced Training in Handicrafts"" Component of the ""Development of Handicrafts"" Scheme, atihcdohs, Craft, Handicrafts, Stipend, Trainee, Training, myScheme, Government Schemes, Government Scheme, GovernmentScheme, GovernmentSchemes, Find Government Scheme, Gov Scheme Platform, Gov Scheme",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,35.0,
Assistance to Law Graduates,https://www.myscheme.gov.in/schemes/atlg,Tamil Nadu,,"The ""Assistance to Law Graduates"" scheme was launched by the Department for the Welfare of Differently Abled Persons, Government of Tamil Nadu. Under this scheme, financial assistance of Rs50,000/- will be given to the differently abled Law graduates for enrolment in the Bar Council as lawyer and for the purchase of law books.","Financial Assistance of Rs50,000/-.",The applicant should be a differently abled person. He/She should be a law graduate.,"OfflineStep 1: The interested applicant should visit (during office hours) the District Differently Abled Welfare Officer and request a hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications.Step 2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required).Step 3: Submit the duly filled and signed application form along with the documents to the District Differently Abled Welfare Officer.Step 4: Request a receipt or acknowledgment from the District Differently Abled Welfare Officer to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).",National Identity Card of the Differently Abled. Law Degree Certificate.,"Assistance to Law Graduates, atlg, Differently-abled Person, Financial Assistance, Law Graduate, Social Welfare, myScheme, Government Schemes, Government Scheme, GovernmentScheme, GovernmentSchemes, Find Government Scheme, Gov Scheme Platform, Gov Scheme",,True,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assistance to Traditional Pottery Makers,https://www.myscheme.gov.in/schemes/atpm,Kerala,,"Certain communities among the Other Backward Classes are engaged in traditional occupations including pottery. Traditional pottery workers are following conventional methods for manufacturing products and face tough competition in the market. In this circumstance, this traditional industry has to be revived by imparting training to pottery workers on modern methods/techniques of production and also by providing financial assistance to mechanize and modernize the sector.In view of the above, the scheme ""Assistance to Traditional Pottery Makers"" is launched by the Backword Classes Development Department, Government of Kerala. Under the scheme, financial assistance will be provided to Traditional Pottery makers belonging to the state OBC category for the purchase of modern machinery for job modernization.","The financial assistance of Rs25,000/- will be provided to the Traditional Pottery Makers for upgrading the occupation and purchasing machinery.","1.	The applicant should be a permanent resident of the Kerala State.2.	The applicant should belong to the State Backward Community of Kerala State.3.	The applicant should be currently engaged in a traditional pottery-making occupation.4.	The annual family income of the applicant should be Rs1,00,000/-.","OfflineThe completely filled Application Form along with all the relevant documents should be submitted before the Regional Deputy Director at the following addresses:Applicants From Trivandrum to Trissur:Regional Deputy Director, Backward Classes Development DepartmentCivil station, Kakkanad, Ernakulam- 682030, KeralaApplicants From Palakkad to Kasargode:Regional Deputy Director, Backward Classes Development DepartmentCivil Station, Kozhikode- 673020, Kerala","1.	Copy of the Identity proof2.	Copy of Aadhaar card3.	Photo of the applicant4.	Copy of the ration card5.	Caste Certificate6.	Income Certificate7.	Residence proof8.	Photocopy of bank passbook9.	Physical Disability Certificate, if applicable10.	Any other document, if required","Assistance to Traditional Pottery Makers, atpm, Financial Assistance, OBC, Pottery, Pottery Worker, myScheme, Government Schemes, Government Scheme, GovernmentScheme, GovernmentSchemes, Find Government Scheme, Gov Scheme Platform, Gov Scheme",,,,,,,,True,,,,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000.0,,,
AICTE-Training programs for Physical Education Trainers/Sport-Games Teachers/Director of Sports,https://www.myscheme.gov.in/schemes/atppe,All India,Ministry of Education,"Training programs for Physical Education Trainers/Sport-Games Teachers/Director of Sports, launched by All India Council for Technical Education, aims to support institutions in conducting trainings to develop the skill of the participants to involve the masses in traditional sports/games and fun games for physical activity through recreation.Objective:The objectives of this program are:To orient the participants to develop physical fitness through mass participation in physical activities.To develop the skill of the participants to involve the masses in traditional sports/games and fun games for physical activity through recreation.To update the participants with modern rules, regulations and techniques.To empower the participants to contribute to sports management and sports technology and to manage mass physical activities for fitness and recreation.Duration/Type/Participants:Two weeks residential program with minimum Twenty Five participants.Period of completion of Training Programme:The programme will be conducted within six months of receipt of fund from AICTE. If it is not conducted during above period due to any reason, then fund along with interest is to be returned to AICTE.Test and Certificate:A test to be conducted at the end of the Program and a certificate to be issued to only those participants who attended the Program and qualified in the test.Terms and conditions:Funds once released/sanctioned for organizing the particular topic/ area of program cannot be utilized for any other program.In case the event is cancelled, the funds will be returned back to AICTE immediately with interest accrued thereon.Any extra money required to complete the program must be borne by the institute from their own resources. But the quality of the activities should not be compromised.At least 25 percentage of course curriculum should be transacted through resource persons from outside the training institutions. However, Honorarium to Resource Persons (within and outside) including TA/DA shall be restricted Rs 2,000,00/-.","Funding to the institution: Rs 6,39,000/- per program.S.No.Head of expenditureRate per head (in Rs.)Limit of funding (in Rs.)1.Boarding & Lodging to the participants(Boarding + Lodging) @ Rs 500/- 25 participant for 14 days (Rs  500x25x14days)Rs 175,000.00/-2.TA to outstation participantsIII AC/Actual Fare @ Rs 4000/- per participant(Rs 4000x25)Rs 100,000.00/-3.Honorarium to course Coordinator(lump sum)Rs 25,000.00/-4.Reading material to participants (including reprographic arrangements, office expenses, stationery, etc.)i) @Rs 500 per person(Rs 500x 25 participant ii) office expenses (lump sum) Rs 12500+7500=20,000.00/-5.Honorarium to Resource Persons (both from within and outside the training institution) including TA/DA as applicable.Honorarium to resource person @ (Rs 3000/- per session) (3000x54 =162000) for 54 session + TA @Rs  2000/- and DA @ Rs 500 Per person for 15 PersonsRs 2,00,000.00/-6.Sports accessories (Track upper and lower, T-shirt)@Rs 1600 per participant for 25 participant(1600x25)Rs 40,000.00/-7.Official/ground assistant for 14 days@Rs 1000 /-per person for 14 days (1000x14)Rs 14,000.00/-8.Inauguration and valedictory function, certificates, mementoes etc.Rs 40,000.00/-9.Miscellaneous ExpenditureRs 25,000.00/-10.Total Amount in Rs.Rs 6,39,000/-",AICTE approved technical institutions.,"OnlineRegistration of New Institute:Step 01: Visit http://portal.aicte-india.org/partnerportal_enu/start.swe and click on 'New Institute' button.Step 02: Users will be redirected to another website. Hover the cursor on Login and select 'Investor Login'.Step 03: New users need to click on 'Sign Up Now' to register.Step 04: Enter the details and click on 'Verify' to receive OTP on your Email Id and Mobile Number.Step 05: After successful verification Click on 'Sign Up Now' to register.Post-Registration Process:Step 01: Visit http://portal.aicte-india.org/partnerportal_enu/start.swe and log in with the credentials provided by AICTE.Step 02: Navigate to AQIS Application Screen by clicking on 'AQIS Application' screen tab.Step 03: Institute details will auto populate in the AQIS Application.Step 04: Fill demographic and Bank details .Step 05: Only after confirming the Bank Details, the ""New"" button will be enabled for adding the AQIS Application. Click on ""New"" button to create AQIS Application.Step 06: A unique AQIS Application ID will get created. Select the ""TRAINING PROGRAMS FOR PHYSICAL EDUCATION TRAINERS/SPORT-GAMES TEACHERS/DIRECTOR OF SPORTS"" as Scheme from the drop down List.Step 07: Now details to be filled for the as followed: Program Details, Personalities Expected, Participating Industries ,Similar Events, Budget Estimate -Others, Academic Credentials of Coordinator/ PI/ Applicant, Justification, Credential of Institute / Department.Step 07: Once the user has filled all the data in the above mentioned tab, user should click on 'Validate Application' button on the 'AQIS Application' tab.Step 08: User will get a pop up message to attach a Mandate Form  after downloading the sample form.Step 09: Now fill the amount in the 'Total Funds Requested' under label 'Budget Estimates Others'.Step 10: After Validation is completed successfully, read the declaration, check it and click on Save.Step 10: Click on 'Submit' button to submit the application.","Original Statement of actual expenditure & Utilization Certificate in the prescribed proforma duly signed by the Head of the institution and countersigned by Registrar/Finance Officer/Govt. Auditor, along with bills/vouchers/invoices. In case of self-financing/private institutions, Statement of actual Expenditure & Utilization Certificate are required to be audited & signed and sealed by a Chartered Accountant endorsing the membership number and complete postal address.Feedback forms duly signed by the participants indicating their contact details.Copy of the proceedings and completion report.Rail tickets/boarding passes.Other documents as required.","AICTE-Training programs for Physical Education Trainers/Sport-Games Teachers/Director of Sports, atppe, Physical Education, Physical Fitness, Sport Games, Training, myScheme, Government Schemes, Government Scheme, GovernmentScheme, GovernmentSchemes, Find Government Scheme, Gov Scheme Platform, Gov Scheme",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
